Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
2014-09-01 01:20:54,28,Genderqueer,Canada,,No,No,No,Never,6-25,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No,
2014-09-01 11:20:07,33,Agender,United Kingdom,,No,No,Yes,Sometimes,1-5,No,No,Yes,No,No,No,Yes,Don't know,Yes,No,Some of them,No,No,Maybe,Yes,No,
2014-09-01 21:19:20,18,maile,United States,OH,Yes,Yes,Yes,Sometimes,1-5,No,Yes,No,No,Yes,No,No,Very easy,Maybe,No,Some of them,Yes,No,Maybe,No,No,
2014-09-02 07:18:33,19,Female,Netherlands,,No,No,No,Sometimes,More than 1000,No,No,No,Yes,No,No,Don't know,Somewhat easy,Yes,No,Yes,Yes,No,Maybe,Don't know,No,
2014-09-02 17:17:46,-29,Cis Male,United States,GA,No,No,No,Never,100-500,Yes,No,Yes,No,No,Don't know,Don't know,Very difficult,No,Maybe,Some of them,Yes,No,Maybe,No,No,
2014-09-03 03:16:59,24,Female (trans),United States,IN,No,Yes,Yes,Rarely,More than 1000,No,Yes,Don't know,Not sure,No,No,Yes,Somewhat easy,No,No,Yes,No,Maybe,No,Yes,No,Working remote is empowering. I've seen negative consequences in previous workplaces.
2014-09-03 13:16:12,34,Agender,United States,WA,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Not sure,No,Don't know,Yes,Don't know,No,No,Some of them,Some of them,No,Yes,Don't know,No,
2014-09-03 23:15:25,25,Cis Female,United States,IL,No,Yes,No,Never,26-100,Yes,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,Some of them,Some of them,No,No,Yes,No,
2014-09-04 09:14:38,22,fluid,United States,NC,No,Yes,Yes,Sometimes,100-500,No,Yes,No,Not sure,No,Don't know,Don't know,Somewhat difficult,Maybe,Maybe,No,Some of them,Yes,No,No,No,
2014-09-04 19:13:51,42,Cis Female,Canada,,No,No,No,Rarely,More than 1000,No,Yes,Yes,No,Yes,Yes,Don't know,Somewhat difficult,Maybe,Maybe,Yes,Some of them,Maybe,Yes,Don't know,No,
2014-09-05 05:13:04,30,female ,United States,MN,nan,No,No,Rarely,1-5,No,Yes,No,No,Don't know,No,Don't know,Don't know,No,No,Some of them,Some of them,No,Maybe,Yes,No,
2014-09-05 15:12:17,32,M,United States,TX,No,No,Yes,Rarely,More than 1000,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,No,No,Some of them,No,No,Maybe,Yes,Yes,
2014-09-06 01:11:30,22,non-binary,United States,TN,No,No,Yes,Often,More than 1000,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,Yes,No,Some of them,No,No,Maybe,Don't know,No,
2014-09-06 11:10:43,28,m,United States,MA,No,No,No,Sometimes,100-500,No,Yes,Don't know,Yes,No,Don't know,No,Very difficult,Yes,No,Yes,Yes,No,Yes,Don't know,No,Our health plan has covered my psychotherapy and antidepressant medication. Manager has been discreet throughout.
2014-09-06 21:09:56,32,Enby,Brazil,,Yes,No,Yes,Often,1-5,No,Yes,No,Not sure,No,No,Don't know,Very difficult,Maybe,No,No,Some of them,No,Maybe,Don't know,No,
2014-09-07 07:09:09,23,Genderqueer,United States,MN,No,No,Yes,Never,More than 1000,No,Yes,No,Not sure,No,No,Yes,Very difficult,Maybe,No,Some of them,Yes,No,No,Don't know,No,
2014-09-07 17:08:22,34,cis-female/femme,United States,MI,No,Yes,Yes,Never,6-25,Yes,No,No,Yes,No,Don't know,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,
2014-09-08 03:07:35,27,male,United States,GA,No,Yes,No,Rarely,More than 1000,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Yes,No,No,
2014-09-08 13:06:48,29,cis male,United States,MN,No,No,No,Sometimes,500-1000,No,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No,
2014-09-08 23:06:01,27,Make,United States,CA,No,Yes,No,Rarely,100-500,No,Yes,Don't know,No,No,No,Yes,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,Don't know,No,
2014-09-09 09:05:14,44,Guy (-ish) ^_^,United Kingdom,,No,Yes,No,Rarely,100-500,Yes,Yes,No,Yes,Don't know,No,Don't know,Very easy,Maybe,No,No,Some of them,No,Maybe,Don't know,Yes,
2014-09-09 19:04:27,31,M,India,,No,No,Yes,Sometimes,6-25,Yes,No,Yes,Yes,Don't know,No,Don't know,Very difficult,No,No,Some of them,Yes,No,Maybe,Don't know,No,Thanks for doing this survey. It helps end the stigma!
2014-09-10 05:03:40,24,Trans woman,United States,IL,No,No,No,Sometimes,More than 1000,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Yes,No,Some of them,No,No,No,Don't know,No,
2014-09-10 15:02:53,37,Woman,United Kingdom,,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Don't know,No,Don't know,Don't know,Yes,No,No,Some of them,No,Yes,Don't know,No,
2014-09-11 01:02:06,23,cis male,United Kingdom,,No,No,No,nan,1-5,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,Maybe,Some of them,Yes,Maybe,No,Don't know,No,
2014-09-11 11:01:19,33,Female,Germany,,No,No,No,Often,6-25,No,Yes,Don't know,No,Yes,No,Yes,Very easy,Maybe,Maybe,Some of them,Some of them,No,Yes,No,No,
2014-09-11 21:00:32,18,female,United States,GA,No,No,No,Sometimes,1-5,No,Yes,Don't know,Yes,No,Yes,No,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No,
2014-09-12 06:59:45,22,Female ,United States,NY,No,No,No,Sometimes,More than 1000,Yes,Yes,Don't know,No,Yes,No,Yes,Don't know,No,No,Some of them,Yes,No,No,Yes,No,
2014-09-12 16:58:58,33,f,United States,CA,No,No,No,Rarely,6-25,No,Yes,Yes,No,No,No,No,Somewhat easy,Maybe,Maybe,Yes,Yes,No,Maybe,Don't know,No,
2014-09-13 02:58:11,37,Agender,United Kingdom,,No,No,No,nan,26-100,Yes,Yes,Yes,No,No,No,Yes,Don't know,Maybe,No,No,Yes,No,Maybe,Don't know,No,Our health plan has covered my psychotherapy and antidepressant medication. Manager has been discreet throughout.
2014-09-13 12:57:24,33,f,Canada,,No,No,Yes,Sometimes,26-100,Yes,No,Yes,No,No,Yes,Don't know,Don't know,Maybe,Yes,Some of them,Yes,No,Maybe,No,No,
2014-09-13 22:56:37,99999999999,Female (trans),United States,IN,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,No,Some of them,Yes,Maybe,Yes,Don't know,No,
2014-09-14 08:55:50,29,fluid,United States,NY,No,No,Yes,nan,6-25,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Very difficult,No,No,Some of them,Some of them,No,Yes,No,No,
2014-09-14 18:55:03,21,Man,Australia,,No,Yes,Yes,Sometimes,6-25,Yes,Yes,No,No,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,Yes,
2014-09-15 04:54:16,26,Agender,Canada,,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,Yes,Yes,Yes,Don't know,Don't know,No,Yes,Some of them,Some of them,Maybe,Maybe,Yes,No,
2014-09-15 14:53:29,28,m,Sweden,,No,Yes,Yes,nan,6-25,No,No,Yes,Yes,Don't know,No,Don't know,Very easy,No,Yes,Some of them,Yes,Maybe,Maybe,No,No,
2014-09-16 00:52:42,39,Enby,Canada,,No,No,Yes,Rarely,26-100,No,Yes,No,No,Don't know,No,Yes,Very easy,Maybe,Maybe,Some of them,No,No,Yes,Don't know,No,
2014-09-16 10:51:55,34,Guy (-ish) ^_^,United States,MI,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,In small startups it is hard to keep mental health issues private.
2014-09-16 20:51:09,19,Androgyne,United States,OH,No,Yes,Yes,Sometimes,More than 1000,Yes,Yes,No,Not sure,Yes,Yes,Don't know,Don't know,No,No,No,Some of them,No,Yes,No,No,
2014-09-17 06:50:22,34,fluid,United Kingdom,,No,No,Yes,Sometimes,100-500,No,Yes,Don't know,Yes,Yes,Don't know,Yes,Somewhat easy,Maybe,Yes,Yes,No,No,Maybe,Don't know,No,
2014-09-17 16:49:35,29,Genderqueer,United States,MI,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,Don't know,Yes,Yes,Somewhat easy,Maybe,No,Yes,Yes,No,Maybe,Yes,No,
2014-09-18 02:48:48,27,Genderqueer,United States,TN,No,No,Yes,nan,100-500,No,Yes,Don't know,Yes,No,Yes,No,Very easy,No,Maybe,Some of them,Some of them,Maybe,No,Don't know,No,
2014-09-18 12:48:01,36,cis male,United Kingdom,,No,Yes,No,Never,More than 1000,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,No,Yes,No,Maybe,Don't know,Yes,
2014-09-18 22:47:14,39,M,United States,MA,No,No,No,Often,6-25,No,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,Yes,No,Maybe,Don't know,No,
2014-09-19 08:46:27,38,Female,Canada,,No,No,No,nan,6-25,No,Yes,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Maybe,Yes,No,No,Yes,No,No,
2014-09-19 18:45:40,26,Male (CIS),United States,NC,No,No,Yes,Never,26-100,No,Yes,Yes,Not sure,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,Yes,No,Don't know,No,Our health plan has covered my psychotherapy and antidepressant medication. Manager has been discreet throughout.
2014-09-20 04:44:53,29,cis-female/femme,France,,No,No,No,Sometimes,26-100,No,No,Yes,No,No,No,Don't know,Very easy,Maybe,Maybe,No,Yes,No,No,Don't know,No,
2014-09-20 14:44:06,34,Male-ish,United States,MN,No,No,Yes,Never,100-500,No,Yes,Don't know,Not sure,No,Yes,Don't know,Don't know,Yes,No,Some of them,No,No,No,Yes,No,
2014-09-21 00:43:19,38,Female (trans),United States,TX,No,Yes,Yes,nan,More than 1000,No,No,Don't know,No,No,No,No,Don't know,Maybe,Maybe,No,No,No,Maybe,Don't know,No,
2014-09-21 10:42:32,28,female ,United Kingdom,,No,Yes,No,nan,26-100,No,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,
2014-09-21 20:41:45,30,Enby,United States,NY,No,Yes,Yes,Sometimes,6-25,No,Yes,Don't know,No,Yes,No,Don't know,Don't know,Maybe,No,No,Yes,No,No,Don't know,No,
2014-09-22 06:40:58,24,Cis Male,United Kingdom,,No,No,No,Often,6-25,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,No,No,
2014-09-22 16:40:11,23,fluid,Canada,,No,No,No,Rarely,More than 1000,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,Maybe,No,Some of them,No,No,Maybe,Yes,No,
2014-09-23 02:39:24,37,Agender,United States,IL,No,No,No,nan,26-100,No,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,I openly discuss my mental health struggles to encourage others to seek treatment.
2014-09-23 12:38:37,41,f,United States,OR,No,Yes,No,Sometimes,More than 1000,No,Yes,Yes,No,No,No,Don't know,Very easy,No,Yes,Some of them,Some of them,No,Maybe,Don't know,No,
2014-09-23 22:37:50,31,Female ,United States,NC,No,No,Yes,Never,6-25,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Yes,No,
2014-09-24 08:37:03,39,non-binary,United States,OH,No,No,Yes,nan,More than 1000,No,Yes,Yes,Not sure,Don't know,No,Don't know,Somewhat difficult,No,No,Some of them,Some of them,Maybe,Maybe,No,No,
2014-09-24 18:36:16,34,Male (CIS),Ireland,,No,No,No,Never,1-5,No,Yes,Yes,Not sure,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,
2014-09-25 04:35:29,27,f,Canada,,No,No,Yes,Never,26-100,No,Yes,Don't know,Not sure,Yes,No,Don't know,Don't know,No,No,Yes,Some of them,No,Maybe,Don't know,No,
2014-09-25 14:34:42,34,Female,United Kingdom,,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,No,No,Yes,Don't know,Very easy,No,No,Some of them,No,No,Yes,Don't know,No,
2014-09-26 00:33:55,42,Cis Male,United Kingdom,,No,No,No,Sometimes,500-1000,No,Yes,Yes,Not sure,No,No,Yes,Somewhat easy,Yes,No,No,Some of them,No,Maybe,Yes,No,
2014-09-26 10:33:08,31,Guy (-ish) ^_^,United States,GA,No,No,No,Sometimes,26-100,Yes,Yes,Yes,Yes,Don't know,No,Don't know,Somewhat easy,Yes,Maybe,Yes,Yes,No,No,No,No,Working remote is empowering. I've seen negative consequences in previous workplaces.
2014-09-26 20:32:21,42,M,Australia,,Yes,Yes,Yes,nan,More than 1000,No,Yes,Don't know,Not sure,No,Don't know,Yes,Don't know,No,No,Yes,No,No,No,Don't know,Yes,
2014-09-27 06:31:34,18,Male,United Kingdom,,No,Yes,Yes,Sometimes,6-25,No,Yes,No,Not sure,Don't know,No,Don't know,Very easy,Maybe,No,No,No,No,Maybe,Don't know,No,
2014-09-27 16:30:47,37,Cis Male,United Kingdom,,Yes,No,No,Never,More than 1000,No,No,No,No,No,No,Don't know,Somewhat easy,No,Maybe,Some of them,Some of them,No,No,Don't know,No,
2014-09-28 02:30:00,32,Trans woman,Germany,,No,No,No,Rarely,6-25,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,No,No,No,Yes,Don't know,No,
2014-09-28 12:29:13,29,Woman,United States,OR,No,No,Yes,Sometimes,500-1000,No,Yes,Yes,No,Don't know,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,No,Don't know,No,
2014-09-28 22:28:26,32,Trans woman,Canada,,No,Yes,Yes,Never,100-500,No,Yes,Yes,No,Yes,Don't know,Don't know,Very easy,No,Maybe,Yes,Some of them,No,Maybe,No,No,
2014-09-29 08:27:39,18,female,United States,GA,No,No,Yes,Often,100-500,No,Yes,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,Don't know,No,
2014-09-29 18:26:52,30,cis male,United States,OH,No,No,No,nan,100-500,No,No,Yes,Not sure,Yes,Don't know,Yes,Don't know,No,No,No,Some of them,No,No,No,No,Our health plan has covered my psychotherapy and antidepressant medication. Manager has been discreet throughout.
2014-09-30 04:26:05,34,f,United States,WA,No,No,Yes,Rarely,More than 1000,No,No,No,No,No,Yes,Yes,Don't know,No,Maybe,Some of them,Yes,No,Maybe,Don't know,No,
2014-09-30 14:25:18,42,female,Brazil,,No,No,No,Rarely,26-100,Yes,Yes,Don't know,Yes,Don't know,No,Yes,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No,
2014-10-01 00:24:31,28,m,Germany,,No,Yes,No,Sometimes,1-5,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No,Yes,Some of them,Maybe,Maybe,Yes,Yes,
2014-10-01 10:23:44,26,female ,United Kingdom,,No,No,No,nan,500-1000,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat difficult,Maybe,No,Yes,No,No,Maybe,Don't know,No,
2014-10-01 20:22:57,28,Man,United Kingdom,,No,Yes,Yes,Sometimes,More than 1000,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,No,No,
2014-10-02 06:22:10,38,female ,United States,NC,No,No,No,Often,1-5,No,Yes,Don't know,Not sure,No,Yes,Yes,Don't know,Maybe,No,Yes,Yes,No,No,Don't know,No,
2014-10-02 16:21:23,34,Femake,Ireland,,No,No,No,Sometimes,More than 1000,No,Yes,Yes,Not sure,No,Don't know,Don't know,Somewhat difficult,Maybe,Maybe,Some of them,Yes,Yes,Maybe,Yes,Yes,
2014-10-03 02:20:36,-1726,Cis Male,United States,IL,No,No,Yes,nan,More than 1000,No,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,No,No,Yes,No,Yes,No,No,Working remote is empowering. I've seen negative consequences in previous workplaces.
2014-10-03 12:19:49,35,male,United States,IN,No,No,Yes,Often,26-100,No,Yes,No,No,No,Don't know,Yes,Somewhat easy,Maybe,No,No,No,No,No,Don't know,No,
2014-10-03 22:19:02,32,Genderqueer,United States,MN,No,No,Yes,Often,6-25,No,Yes,Don't know,Yes,Yes,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Yes,Yes,No,
2014-10-04 08:18:15,38,F,Canada,,No,No,No,Sometimes,6-25,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Yes,No,No,No,No,
2014-10-04 18:17:28,27,male,United Kingdom,,No,No,No,Never,26-100,No,Yes,Yes,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,No,No,No,No,Maybe,No,No,
2014-10-05 04:16:41,29,Female (trans),United States,OR,No,No,No,Rarely,More than 1000,No,No,No,No,No,Don't know,Don't know,Don't know,No,No,Some of them,No,No,No,Yes,No,
2014-10-05 14:15:54,29,male,United States,MA,No,No,Yes,Often,26-100,Yes,Yes,No,Not sure,Yes,No,Yes,Very difficult,Maybe,No,Some of them,Yes,No,No,Don't know,No,
2014-10-06 00:15:07,21,cis-female/femme,Germany,,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,No,Don't know,Don't know,Somewhat difficult,No,Maybe,No,No,No,Maybe,Yes,No,
2014-10-06 10:14:20,34,Female (trans),United States,TN,No,Yes,No,nan,500-1000,No,No,Don't know,Yes,No,No,No,Very easy,Maybe,No,Yes,Some of them,No,Maybe,Yes,No,Thanks for doing this survey. It helps end the stigma!
2014-10-06 20:13:34,33,maile,United Kingdom,,No,No,No,nan,26-100,No,No,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Yes,No,
2014-10-07 06:12:47,32,Cis Male,Brazil,,No,Yes,No,Sometimes,26-100,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Yes,No,Some of them,Some of them,No,Maybe,No,No,
2014-10-07 16:12:00,30,m,United States,CA,No,No,No,nan,6-25,No,Yes,Yes,Not sure,No,No,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,
2014-10-08 02:11:13,22,cis male,United States,TX,No,Yes,Yes,Never,6-25,No,Yes,No,Yes,No,Don't know,Don't know,Don't know,Yes,No,No,Yes,No,Maybe,Don't know,No,
2014-10-08 12:10:26,29,m,United Kingdom,,No,No,No,Never,100-500,No,Yes,Don't know,Not sure,No,Yes,Don't know,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,
2014-10-08 22:09:39,29,cis-female/femme,Canada,,No,No,No,Sometimes,More than 1000,Yes,Yes,Yes,No,No,No,Don't know,Somewhat easy,Yes,No,No,No,No,No,No,No,
2014-10-09 08:08:52,26,male,United States,IN,No,No,No,Rarely,100-500,No,No,Don't know,Yes,No,Yes,Don't know,Somewhat difficult,Maybe,No,No,No,No,Maybe,Yes,No,
2014-10-09 18:08:05,30,f,India,,No,No,Yes,Often,6-25,No,Yes,No,Not sure,No,Don't know,Yes,Don't know,Yes,No,Some of them,No,No,No,No,No,Thanks for doing this survey. It helps end the stigma!
2014-10-10 04:07:18,34,Female (trans),United States,TN,No,Yes,No,Never,More than 1000,No,Yes,Yes,No,No,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,No,No,
2014-10-10 14:06:31,45,Enby,United States,MN,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,Yes,No,No,No,No,Yes,
2014-10-11 00:05:44,33,female ,United Kingdom,,No,Yes,Yes,Often,6-25,No,Yes,Don't know,Not sure,Yes,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Yes,No,Maybe,No,No,
2014-10-11 10:04:57,33,cis male,Germany,,No,No,Yes,Often,6-25,No,Yes,Yes,No,No,Yes,Don't know,Somewhat difficult,Yes,No,No,Some of them,No,No,No,No,
2014-10-11 20:04:10,31,female ,United States,TN,No,No,No,Sometimes,6-25,Yes,Yes,No,Not sure,No,No,Don't know,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,
2014-10-12 06:03:23,18,Cis Female,Canada,,No,No,No,nan,26-100,No,Yes,Yes,No,No,No,Yes,Don't know,No,No,Yes,Some of them,No,Maybe,Yes,No,
2014-10-12 16:02:36,31,female,United States,GA,No,Yes,Yes,Never,6-25,No,Yes,No,No,No,Don't know,No,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,
2014-10-13 02:01:49,32,Cis Male,United States,OH,Yes,Yes,Yes,Sometimes,500-1000,No,Yes,Yes,Not sure,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,I openly discuss my mental health struggles to encourage others to seek treatment.
2014-10-13 12:01:02,49,Androgyne,United States,MA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Don't know,No,
2014-10-13 22:00:15,30,female,Germany,,No,No,No,Never,6-25,No,No,No,Yes,Yes,Don't know,Don't know,Don't know,Maybe,Maybe,No,Some of them,Maybe,Maybe,Don't know,No,
2014-10-14 07:59:28,34,Man,United States,MN,No,No,No,nan,6-25,Yes,Yes,Don't know,Yes,Yes,Don't know,Don't know,Very easy,Yes,No,Some of them,Yes,Yes,Maybe,Don't know,No,
2014-10-14 17:58:41,31,Guy (-ish) ^_^,United States,NC,No,No,Yes,Never,More than 1000,Yes,No,Yes,Not sure,No,No,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe,No,No,
2014-10-15 03:57:54,23,Female,United States,OH,No,No,No,Often,6-25,No,Yes,Yes,No,No,Yes,Don't know,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,
2014-10-15 13:57:07,39,Enby,Netherlands,,No,Yes,Yes,Sometimes,1-5,No,Yes,Don't know,Yes,Yes,No,Don't know,Very easy,No,No,Yes,No,No,Maybe,Don't know,No,
2014-10-15 23:56:20,37,Trans-female,United Kingdom,,No,No,Yes,Never,500-1000,Yes,Yes,Don't know,No,Yes,Don't know,Yes,Somewhat easy,No,Maybe,Some of them,Yes,Maybe,No,No,No,
2014-10-16 09:55:33,37,non-binary,Canada,,No,No,No,nan,26-100,No,Yes,No,Yes,Yes,Don't know,Yes,Somewhat easy,Maybe,Maybe,Yes,Some of them,Maybe,No,Yes,No,I openly discuss my mental health struggles to encourage others to seek treatment.
2014-10-16 19:54:46,25,Male,United States,PA,No,Yes,Yes,Often,26-100,No,No,No,No,No,Don't know,No,Don't know,No,No,Yes,Some of them,Yes,No,Don't know,No,
2014-10-17 05:53:59,41,Female,United Kingdom,,No,No,No,Sometimes,6-25,No,No,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Yes,No,No,Yes,No,No,
2014-10-17 15:53:12,22,F,United States,NY,No,Yes,Yes,Never,More than 1000,Yes,Yes,Don't know,Yes,Don't know,Yes,Don't know,Somewhat easy,No,No,No,No,No,Yes,Don't know,Yes,
2014-10-18 01:52:25,36,Male,Germany,,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Yes,No,Yes,Some of them,No,No,Yes,No,
2014-10-18 11:51:38,47,Make,Australia,,No,Yes,Yes,Never,26-100,Yes,Yes,Don't know,No,No,Yes,Don't know,Somewhat difficult,Yes,No,Some of them,Some of them,No,Yes,Don't know,No,
2014-10-18 21:50:51,25,non-binary,United States,TX,No,No,Yes,Often,6-25,Yes,No,Yes,Yes,No,No,Don't know,Somewhat difficult,No,Maybe,Some of them,No,No,Maybe,Yes,No,
2014-10-19 07:50:04,28,Cis Male,United Kingdom,,No,Yes,No,Often,More than 1000,No,Yes,Yes,Yes,Yes,Don't know,Yes,Somewhat difficult,Yes,No,Yes,Some of them,Maybe,No,No,No,
2014-10-19 17:49:17,32,Cis Female,United States,MI,Yes,No,No,Sometimes,26-100,Yes,Yes,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Yes,Don't know,No,I openly discuss my mental health struggles to encourage others to seek treatment.
2014-10-20 03:48:30,28,Man,United States,NY,No,No,No,nan,6-25,Yes,Yes,Yes,Yes,No,Don't know,No,Very easy,Maybe,No,Some of them,Yes,No,No,No,No,
2014-10-20 13:47:43,21,Male,United States,CA,No,No,No,Rarely,100-500,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Yes,Don't know,No,
2014-10-20 23:46:56,32,maile,United States,GA,No,No,Yes,Never,More than 1000,No,No,Don't know,Yes,No,No,Yes,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,
